Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C19, C20, C23, C4, C5, C9",0402,8,0.1uF 50V,C5142567
"C10, C11, C14, C27, C3, C30, C34, C8",0402,8,1uF 50V,C1518208
"C12, C13, C18, C26, C29, C32, C33, C36",0603,8,4.7uF 25V,C20539423
"D1, D6, D7, D8, D9",D_SOD-323F,5,BAT54WS,C3040452
D2,0402,1,GREEN,C2856703
D3,0402,1,RED,C965790
D4,0402,1,ORANGE,C965791
D5,0402,1,YELLOW,C965792
F1,0603,1,MF-FSMF050X-2,C210357
"FID1, FID2",Fiducial_0.5mm_Mask1.5mm,2,Fiducial,
"J1, J4",Connector_Castelled_15pin_2.54mm_withVIA,2,Conn_01x15,
J2,FH34SRJ-24S-0.5SH,1,FH34SRJ-24S-0.5SH,C5213757
J5,USB_C_PCB_receptacle_24pin_1mm-cutout,1,USB_C_Receptacle,
L1,L_Wuerth_MAPI-3015,1,NR3015T100M,C6364790
Q4,SOT-23,1,AO3400A,C347475
"R1, R16, R17, R18, R19, R22, R23, R24, R7",0402,9,5.1K,C2906874
"R10, R11, R8, R9",0402,4,470,C2909361
R27,0603,1,0.47R,C5159706
SW1,SW_SPST_B3U-1000P-B,1,B3U-1000P,C2905190
U1,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,1,APS6404L-SQN-ZR,-
U10,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,1,ZD25WQ32CEIGR,
U11,SOT-23,1,XC6206P332MR,C347376
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,APS6404L-SQN-SN,-
U3,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,1,EFM32PG23B200F512IM40,C5727544
U7,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32G431KBUx,C1341901
U8,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q32JVZP,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,W25Q32JVSNI,C6000506
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,FC2012AN,C97602
Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,39MHz,C3034315
Y3,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,CSTNE20M,C882604
